mass No Yp H2/H He3/H Li7/H Li6/H Be7/H 
2.91 2 2.524e-01 2.805e-05 1.081e-05 4.704e-10 1.267e-14 4.374e-10 
2.91 3 2.521e-01 2.760e-05 1.076e-05 4.808e-10 1.245e-14 4.482e-10 
2.91 4 2.566e-01 3.106e-05 1.121e-05 4.228e-10 1.433e-14 3.863e-10 
3.01 1 2.500e-01 2.624e-05 1.054e-05 5.062e-10 1.172e-14 4.755e-10 
3.01 2 2.523e-01 2.805e-05 1.076e-05 4.720e-10 1.267e-14 4.391e-10 
3.01 3 2.520e-01 2.756e-05 1.075e-05 4.814e-10 1.243e-14 4.488e-10 
3.01 4 2.564e-01 3.100e-05 1.119e-05 4.238e-10 1.429e-14 3.874e-10 
3.11 1 2.500e-01 2.622e-05 1.054e-05 5.066e-10 1.170e-14 4.759e-10 
3.11 2 2.522e-01 2.781e-05 1.077e-05 4.764e-10 1.255e-14 4.436e-10 
3.11 3 2.519e-01 2.753e-05 1.074e-05 4.819e-10 1.241e-14 4.494e-10 
3.11 4 2.563e-01 3.084e-05 1.119e-05 4.261e-10 1.420e-14 3.897e-10 
3.21 1 2.499e-01 2.620e-05 1.053e-05 5.070e-10 1.169e-14 4.763e-10 
3.21 2 2.521e-01 2.770e-05 1.078e-05 4.786e-10 1.250e-14 4.459e-10 
3.21 3 2.518e-01 2.750e-05 1.074e-05 4.825e-10 1.239e-14 4.501e-10 
3.21 4 2.561e-01 3.079e-05 1.117e-05 4.264e-10 1.416e-14 3.902e-10 
3.31 1 2.499e-01 2.617e-05 1.053e-05 5.074e-10 1.168e-14 4.768e-10 
3.31 2 2.520e-01 2.766e-05 1.077e-05 4.793e-10 1.247e-14 4.467e-10 
3.31 3 2.517e-01 2.746e-05 1.073e-05 4.831e-10 1.237e-14 4.507e-10 
3.31 4 2.559e-01 3.071e-05 1.116e-05 4.274e-10 1.412e-14 3.913e-10 
3.41 1 2.498e-01 2.615e-05 1.052e-05 5.078e-10 1.167e-14 4.772e-10 
3.41 2 2.519e-01 2.762e-05 1.076e-05 4.801e-10 1.245e-14 4.475e-10 
3.41 3 2.516e-01 2.743e-05 1.073e-05 4.837e-10 1.235e-14 4.514e-10 
3.41 4 2.558e-01 3.064e-05 1.115e-05 4.284e-10 1.408e-14 3.925e-10 
3.51 1 2.498e-01 2.613e-05 1.052e-05 5.082e-10 1.166e-14 4.777e-10 
3.51 2 2.519e-01 2.757e-05 1.075e-05 4.809e-10 1.242e-14 4.484e-10 
3.51 3 2.516e-01 2.739e-05 1.072e-05 4.843e-10 1.233e-14 4.520e-10 
3.51 4 2.556e-01 3.057e-05 1.114e-05 4.295e-10 1.403e-14 3.937e-10 
3.61 1 2.497e-01 2.611e-05 1.052e-05 5.087e-10 1.164e-14 4.781e-10 
3.61 2 2.518e-01 2.753e-05 1.074e-05 4.817e-10 1.240e-14 4.492e-10 
3.61 3 2.515e-01 2.736e-05 1.071e-05 4.849e-10 1.231e-14 4.527e-10 
3.61 4 2.555e-01 3.047e-05 1.114e-05 4.303e-10 1.398e-14 3.946e-10 
3.71 1 2.497e-01 2.609e-05 1.051e-05 5.091e-10 1.163e-14 4.786e-10 
3.71 2 2.517e-01 2.749e-05 1.074e-05 4.825e-10 1.238e-14 4.501e-10 
3.71 3 2.514e-01 2.733e-05 1.071e-05 4.856e-10 1.229e-14 4.534e-10 
3.71 4 2.554e-01 3.039e-05 1.113e-05 4.314e-10 1.393e-14 3.958e-10 
3.81 1 2.497e-01 2.607e-05 1.051e-05 5.095e-10 1.162e-14 4.790e-10 
3.81 2 2.516e-01 2.744e-05 1.073e-05 4.833e-10 1.235e-14 4.510e-10 
3.81 3 2.514e-01 2.729e-05 1.070e-05 4.863e-10 1.227e-14 4.541e-10 
3.81 4 2.553e-01 3.032e-05 1.111e-05 4.326e-10 1.389e-14 3.971e-10 
3.91 1 2.496e-01 2.605e-05 1.051e-05 5.100e-10 1.161e-14 4.795e-10 
3.91 2 2.516e-01 2.740e-05 1.072e-05 4.841e-10 1.233e-14 4.518e-10 
3.91 3 2.513e-01 2.723e-05 1.070e-05 4.870e-10 1.224e-14 4.549e-10 
3.91 4 2.552e-01 3.025e-05 1.110e-05 4.337e-10 1.385e-14 3.983e-10 
4.01 1 2.496e-01 2.603e-05 1.050e-05 5.104e-10 1.160e-14 4.799e-10 
4.01 2 2.515e-01 2.736e-05 1.071e-05 4.849e-10 1.231e-14 4.527e-10 
4.01 3 2.513e-01 2.717e-05 1.070e-05 4.877e-10 1.221e-14 4.557e-10 
4.01 4 2.550e-01 3.017e-05 1.109e-05 4.349e-10 1.381e-14 3.996e-10 
