mass No Yp H2/H He3/H Li7/H Li6/H Be7/H 
3.41 3 2.450e-01 2.221e-05 9.996e-06 6.010e-10 9.680e-15 5.749e-10 
3.41 4 2.437e-01 2.092e-05 9.774e-06 6.390e-10 9.060e-15 6.144e-10 
3.51 1 2.461e-01 2.315e-05 1.012e-05 5.764e-10 1.014e-14 5.492e-10 
3.51 2 2.449e-01 2.215e-05 9.976e-06 6.028e-10 9.648e-15 5.768e-10 
3.51 3 2.450e-01 2.224e-05 9.997e-06 6.002e-10 9.693e-15 5.740e-10 
3.51 4 2.437e-01 2.094e-05 9.778e-06 6.381e-10 9.070e-15 6.135e-10 
3.61 1 2.462e-01 2.317e-05 1.012e-05 5.759e-10 1.015e-14 5.487e-10 
3.61 2 2.449e-01 2.224e-05 9.992e-06 5.982e-10 9.690e-15 5.721e-10 
3.61 3 2.451e-01 2.228e-05 9.997e-06 5.992e-10 9.710e-15 5.730e-10 
3.61 4 2.437e-01 2.097e-05 9.783e-06 6.372e-10 9.082e-15 6.126e-10 
3.71 1 2.462e-01 2.319e-05 1.013e-05 5.754e-10 1.016e-14 5.481e-10 
3.71 2 2.450e-01 2.223e-05 9.977e-06 6.005e-10 9.686e-15 5.745e-10 
3.71 3 2.451e-01 2.232e-05 9.997e-06 5.981e-10 9.728e-15 5.719e-10 
3.71 4 2.437e-01 2.100e-05 9.786e-06 6.361e-10 9.096e-15 6.115e-10 
3.81 1 2.462e-01 2.321e-05 1.013e-05 5.748e-10 1.017e-14 5.476e-10 
3.81 2 2.450e-01 2.226e-05 9.980e-06 5.996e-10 9.702e-15 5.735e-10 
3.81 3 2.451e-01 2.235e-05 9.998e-06 5.972e-10 9.744e-15 5.710e-10 
3.81 4 2.437e-01 2.104e-05 9.790e-06 6.351e-10 9.111e-15 6.104e-10 
3.91 1 2.462e-01 2.323e-05 1.013e-05 5.743e-10 1.018e-14 5.471e-10 
3.91 2 2.450e-01 2.230e-05 9.983e-06 5.987e-10 9.717e-15 5.726e-10 
3.91 3 2.451e-01 2.238e-05 1.000e-05 5.964e-10 9.758e-15 5.701e-10 
3.91 4 2.437e-01 2.107e-05 9.794e-06 6.341e-10 9.127e-15 6.093e-10 
4.01 1 2.462e-01 2.336e-05 1.012e-05 5.710e-10 1.024e-14 5.435e-10 
4.01 2 2.450e-01 2.233e-05 9.986e-06 5.978e-10 9.733e-15 5.717e-10 
4.01 3 2.451e-01 2.241e-05 1.000e-05 5.956e-10 9.772e-15 5.693e-10 
4.01 4 2.438e-01 2.110e-05 9.798e-06 6.330e-10 9.142e-15 6.083e-10 
4.11 1 2.463e-01 2.338e-05 1.012e-05 5.706e-10 1.025e-14 5.431e-10 
4.11 2 2.451e-01 2.236e-05 9.990e-06 5.970e-10 9.748e-15 5.707e-10 
4.11 3 2.452e-01 2.244e-05 1.001e-05 5.948e-10 9.786e-15 5.685e-10 
4.11 4 2.438e-01 2.114e-05 9.803e-06 6.320e-10 9.158e-15 6.073e-10 
4.21 1 2.463e-01 2.340e-05 1.012e-05 5.702e-10 1.026e-14 5.427e-10 
4.21 2 2.451e-01 2.239e-05 9.994e-06 5.961e-10 9.764e-15 5.698e-10 
4.21 3 2.452e-01 2.247e-05 1.001e-05 5.940e-10 9.800e-15 5.677e-10 
4.21 4 2.438e-01 2.117e-05 9.808e-06 6.311e-10 9.174e-15 6.062e-10 
4.31 1 2.463e-01 2.331e-05 1.014e-05 5.723e-10 1.022e-14 5.449e-10 
4.31 2 2.451e-01 2.243e-05 9.997e-06 5.952e-10 9.781e-15 5.689e-10 
4.31 3 2.452e-01 2.250e-05 1.001e-05 5.933e-10 9.815e-15 5.669e-10 
4.31 4 2.439e-01 2.120e-05 9.813e-06 6.301e-10 9.190e-15 6.052e-10 
4.41 1 2.463e-01 2.333e-05 1.014e-05 5.718e-10 1.023e-14 5.444e-10 
4.41 2 2.452e-01 2.246e-05 1.000e-05 5.943e-10 9.797e-15 5.680e-10 
4.41 3 2.453e-01 2.253e-05 1.001e-05 5.925e-10 9.829e-15 5.661e-10 
4.41 4 2.439e-01 2.124e-05 9.820e-06 6.290e-10 9.206e-15 6.041e-10 
4.51 1 2.463e-01 2.335e-05 1.014e-05 5.713e-10 1.024e-14 5.439e-10 
4.51 2 2.452e-01 2.250e-05 1.000e-05 5.934e-10 9.813e-15 5.671e-10 
4.51 3 2.453e-01 2.256e-05 1.002e-05 5.917e-10 9.844e-15 5.653e-10 
4.51 4 2.439e-01 2.129e-05 9.825e-06 6.275e-10 9.230e-15 6.024e-10 
4.61 1 2.464e-01 2.337e-05 1.014e-05 5.708e-10 1.025e-14 5.434e-10 
4.61 2 2.453e-01 2.253e-05 1.001e-05 5.926e-10 9.830e-15 5.662e-10 
4.61 3 2.453e-01 2.259e-05 1.002e-05 5.909e-10 9.858e-15 5.644e-10 
4.61 4 2.440e-01 2.133e-05 9.827e-06 6.261e-10 9.253e-15 6.010e-10 
4.71 1 2.464e-01 2.339e-05 1.015e-05 5.703e-10 1.026e-14 5.429e-10 
4.71 2 2.453e-01 2.256e-05 1.001e-05 5.917e-10 9.844e-15 5.652e-10 
4.71 3 2.454e-01 2.262e-05 1.002e-05 5.902e-10 9.873e-15 5.637e-10 
4.71 4 2.440e-01 2.138e-05 9.831e-06 6.249e-10 9.273e-15 5.998e-10 
4.81 1 2.464e-01 2.341e-05 1.015e-05 5.699e-10 1.027e-14 5.424e-10 
4.81 2 2.453e-01 2.259e-05 1.002e-05 5.909e-10 9.860e-15 5.644e-10 
4.81 3 2.454e-01 2.265e-05 1.003e-05 5.894e-10 9.888e-15 5.629e-10 
4.81 4 2.441e-01 2.142e-05 9.835e-06 6.237e-10 9.294e-15 5.985e-10 
4.91 1 2.464e-01 2.343e-05 1.015e-05 5.694e-10 1.028e-14 5.419e-10 
4.91 2 2.454e-01 2.262e-05 1.002e-05 5.901e-10 9.874e-15 5.634e-10 
4.91 3 2.454e-01 2.268e-05 1.003e-05 5.886e-10 9.903e-15 5.621e-10 
4.91 4 2.441e-01 2.146e-05 9.844e-06 6.224e-10 9.312e-15 5.971e-10 
5.01 1 2.465e-01 2.345e-05 1.015e-05 5.689e-10 1.029e-14 5.415e-10 
5.01 2 2.454e-01 2.265e-05 1.003e-05 5.893e-10 9.890e-15 5.626e-10 
5.01 3 2.455e-01 2.271e-05 1.003e-05 5.879e-10 9.918e-15 5.613e-10 
5.01 4 2.442e-01 2.149e-05 9.852e-06 6.211e-10 9.330e-15 5.957e-10 
5.11 1 2.465e-01 2.347e-05 1.016e-05 5.685e-10 1.030e-14 5.410e-10 
5.11 2 2.455e-01 2.268e-05 1.003e-05 5.885e-10 9.905e-15 5.618e-10 
5.11 3 2.455e-01 2.273e-05 1.004e-05 5.872e-10 9.930e-15 5.605e-10 
5.11 4 2.442e-01 2.154e-05 9.856e-06 6.198e-10 9.352e-15 5.945e-10 
5.21 1 2.465e-01 2.349e-05 1.016e-05 5.680e-10 1.031e-14 5.405e-10 
5.21 2 2.455e-01 2.271e-05 1.003e-05 5.877e-10 9.921e-15 5.609e-10 
5.21 3 2.456e-01 2.276e-05 1.004e-05 5.864e-10 9.945e-15 5.597e-10 
5.21 4 2.443e-01 2.158e-05 9.861e-06 6.186e-10 9.373e-15 5.932e-10 
5.31 1 2.465e-01 2.351e-05 1.016e-05 5.676e-10 1.032e-14 5.400e-10 
5.31 2 2.455e-01 2.274e-05 1.004e-05 5.869e-10 9.937e-15 5.601e-10 
5.31 3 2.456e-01 2.279e-05 1.005e-05 5.857e-10 9.959e-15 5.589e-10 
5.31 4 2.444e-01 2.162e-05 9.865e-06 6.174e-10 9.395e-15 5.920e-10 
5.41 1 2.466e-01 2.352e-05 1.016e-05 5.672e-10 1.033e-14 5.396e-10 
5.41 2 2.456e-01 2.277e-05 1.004e-05 5.861e-10 9.952e-15 5.593e-10 
5.41 3 2.456e-01 2.281e-05 1.005e-05 5.850e-10 9.972e-15 5.581e-10 
5.41 4 2.444e-01 2.167e-05 9.870e-06 6.162e-10 9.416e-15 5.907e-10 
5.51 1 2.466e-01 2.354e-05 1.017e-05 5.667e-10 1.034e-14 5.391e-10 
5.51 2 2.456e-01 2.280e-05 1.005e-05 5.853e-10 9.967e-15 5.585e-10 
5.51 3 2.457e-01 2.284e-05 1.006e-05 5.843e-10 9.986e-15 5.574e-10 
5.51 4 2.445e-01 2.169e-05 9.881e-06 6.150e-10 9.431e-15 5.894e-10 
5.61 1 2.466e-01 2.356e-05 1.017e-05 5.663e-10 1.035e-14 5.387e-10 
5.61 2 2.457e-01 2.283e-05 1.005e-05 5.846e-10 9.982e-15 5.577e-10 
5.61 3 2.457e-01 2.287e-05 1.006e-05 5.836e-10 1.000e-14 5.566e-10 
5.61 4 2.445e-01 2.172e-05 9.893e-06 6.137e-10 9.445e-15 5.882e-10 
5.71 1 2.467e-01 2.358e-05 1.017e-05 5.659e-10 1.036e-14 5.382e-10 
5.71 2 2.457e-01 2.286e-05 1.005e-05 5.839e-10 9.996e-15 5.570e-10 
5.71 3 2.458e-01 2.290e-05 1.006e-05 5.829e-10 1.001e-14 5.559e-10 
5.71 4 2.446e-01 2.177e-05 9.898e-06 6.125e-10 9.466e-15 5.869e-10 
5.81 1 2.467e-01 2.360e-05 1.017e-05 5.655e-10 1.037e-14 5.378e-10 
5.81 2 2.458e-01 2.289e-05 1.006e-05 5.832e-10 1.001e-14 5.562e-10 
5.81 3 2.458e-01 2.292e-05 1.007e-05 5.822e-10 1.003e-14 5.552e-10 
5.81 4 2.446e-01 2.180e-05 9.907e-06 6.114e-10 9.484e-15 5.857e-10 
5.91 1 2.467e-01 2.361e-05 1.017e-05 5.650e-10 1.038e-14 5.374e-10 
5.91 2 2.458e-01 2.291e-05 1.006e-05 5.825e-10 1.002e-14 5.555e-10 
5.91 3 2.458e-01 2.295e-05 1.007e-05 5.816e-10 1.004e-14 5.545e-10 
5.91 4 2.447e-01 2.184e-05 9.912e-06 6.103e-10 9.503e-15 5.846e-10 
